postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42275,3601112003,36,1,11,2003
15710,3603182002,36,3,18,2002
42397,3602162006,36,2,16,2006
15721,3603032003,36,3,3,2003
42192,3604122011,36,4,12,2011
42357,3602182012,36,2,18,2012
42251,3601222002,36,1,22,2002
42182,3604092016,36,4,9,2016
42262,3601132001,36,1,13,2001
15314,3674071002,36,74,7,1002
42266,3601242011,36,1,24,2011
42264,3601282007,36,1,28,2007
42398,3602202007,36,2,20,2007
15510,3603132007,36,3,13,2007
42186,3604152003,36,4,15,2003
42283,3601012001,36,1,1,2001
15159,3671121007,36,71,12,1007
15412,3674051002,36,74,5,1002
42160,3604332002,36,4,33,2002
42175,3604232007,36,4,23,2007
42263,3601162006,36,1,16,2006
42287,3601272004,36,1,27,2004
42361,3602112009,36,2,11,2009
42113,3673011005,36,73,1,1005
42174,3604202001,36,4,20,2001
42166,3604302008,36,4,30,2008
15720,3603042001,36,3,4,2001
42186,3604152011,36,4,15,2011
15820,3603202006,36,3,20,2006
15418,3674061004,36,74,6,1004
42254,3601322007,36,1,32,2007
42365,3602272002,36,2,27,2002
42161,3604052001,36,4,5,2001
42312,3602242002,36,2,24,2002
42272,3601152001,36,1,15,2001
42219,3601211003,36,1,21,1003
42372,3602042003,36,2,4,2003
15157,3671121001,36,71,12,1001
42167,3604312007,36,4,31,2007
42391,3602012005,36,2,1,2005
42364,3602052018,36,2,5,2018
15143,3671111011,36,71,11,1011
15510,3603132008,36,3,13,2008
15550,3603072006,36,3,7,2006
42394,3602192014,36,2,19,2014
42175,3604232014,36,4,23,2014
42445,3672041002,36,72,4,1002
42364,3602052004,36,2,5,2004
15229,3674031002,36,74,3,1002
42365,3602272010,36,2,27,2010
42263,3601162004,36,1,16,2004
42179,3604242005,36,4,24,2005
15570,3603152003,36,3,15,2003
42168,3604292011,36,4,29,2011
15521,3603302002,36,3,30,2002
15116,3671071003,36,71,7,1003
15720,3603042005,36,3,4,2005
42394,3602192009,36,2,19,2009
42178,3604252002,36,4,25,2002
42213,3601251001,36,1,25,1001
42195,3604172009,36,4,17,2009
42392,3602262009,36,2,26,2009
42160,3604332006,36,4,33,2006
15530,3603092007,36,3,9,2007
15730,3603052017,36,3,5,2017
42453,3604062010,36,4,6,2010
15612,3603272008,36,3,27,2008
15322,3674011005,36,74,1,1005
42267,3601292008,36,1,29,2008
42252,3601202005,36,1,20,2005
42193,3604132013,36,4,13,2013
42445,3672041003,36,72,4,1003
42272,3601152005,36,1,15,2005
15731,3603312001,36,3,31,2001
15412,3674051001,36,74,5,1001
42195,3604172010,36,4,17,2010
42355,3602092006,36,2,9,2006
42362,3602062006,36,2,6,2006
42394,3602192018,36,2,19,2018
42186,3604152008,36,4,15,2008
42178,3604252004,36,4,25,2004
42253,3601192005,36,1,19,2005
15570,3603152014,36,3,15,2014
42175,3604232012,36,4,23,2012
42355,3602092016,36,2,9,2016
42371,3602122005,36,2,12,2005
42371,3602122011,36,2,12,2011
42371,3602122002,36,2,12,2002
15345,3603232006,36,3,23,2006
42284,3601022003,36,1,2,2003
15610,3603012009,36,3,1,2009
42363,3602072008,36,2,7,2008
42253,3601192008,36,1,19,2008
42356,3602172005,36,2,17,2005
15620,3603322001,36,3,32,2001
15531,3603082011,36,3,8,2011
42439,3672031004,36,72,3,1004
42447,3672041004,36,72,4,1004
15152,3671061004,36,71,6,1004
42160,3604332001,36,4,33,2001
42178,3604252010,36,4,25,2010
42184,3604112004,36,4,11,2004
15560,3603121005,36,3,12,1005
42194,3604142001,36,4,14,2001
42431,3672071001,36,72,7,1001
42177,3604262006,36,4,26,2006
42263,3601162012,36,1,16,2012
16750,3201252002,32,1,25,2002
42251,3601222005,36,1,22,2005
42167,3604312005,36,4,31,2005
42355,3602092003,36,2,9,2003
42116,3673011008,36,73,1,1008
42398,3602202010,36,2,20,2010
42250,3601332006,36,1,33,2006
